x,y
1.600000,2.098259
1.610000,2.108112
1.620000,2.117918
1.630000,2.127675
1.640000,2.137385
1.650000,2.147046
1.660000,2.156660
1.670000,2.166225
1.680000,2.175742
1.690000,2.185211
1.700000,2.194632
1.710000,2.204005
1.720000,2.213329
1.730000,2.222605
1.740000,2.231832
1.750000,2.241011
1.760000,2.250142
1.770000,2.259224
1.780000,2.268258
1.790000,2.277243
1.800000,2.286179
1.810000,2.295067
1.820000,2.303907
1.830000,2.312697
1.840000,2.321439
1.850000,2.330132
1.860000,2.338776
1.870000,2.347371
1.880000,2.355918
1.890000,2.364415
1.900000,2.372864
1.910000,2.381264
1.920000,2.389614
1.930000,2.397916
1.940000,2.406168
1.950000,2.414371
1.960000,2.422525
1.970000,2.430630
1.980000,2.438686
1.990000,2.446692
2.000000,2.454649
2.010000,2.462557
2.020000,2.470415
2.030000,2.478226
2.040000,2.485988
2.050000,2.493702
2.060000,2.501369
2.070000,2.508989
2.080000,2.516563
2.090000,2.524091
2.100000,2.531573
2.110000,2.539010
2.120000,2.546402
2.130000,2.553750
2.140000,2.561054
2.150000,2.568314
2.160000,2.575532
2.170000,2.582706
2.180000,2.589838
2.190000,2.596929
2.200000,2.603978
2.210000,2.610986
2.220000,2.617953
2.230000,2.624880
2.240000,2.631768
2.250000,2.638616
2.260000,2.645425
2.270000,2.652195
2.280000,2.658928
2.290000,2.665623
2.300000,2.672280
2.310000,2.678901
2.320000,2.685485
2.330000,2.692033
2.340000,2.698546
2.350000,2.705023
2.360000,2.711466
2.370000,2.717874
2.380000,2.724248
2.390000,2.730589
2.400000,2.736897
2.410000,2.743172
2.420000,2.749415
2.430000,2.755626
2.440000,2.761805
2.450000,2.767954
2.460000,2.774072
2.470000,2.780159
2.480000,2.786217
2.490000,2.792246
2.500000,2.798246
2.510000,2.804217
2.520000,2.810160
2.530000,2.816075
2.540000,2.821963
2.550000,2.827825
2.560000,2.833659
2.570000,2.839468
2.580000,2.845252
2.590000,2.851010
2.600000,2.856743
2.610000,2.862452
2.620000,2.868137
2.630000,2.873798
2.640000,2.879437
2.650000,2.885053
2.660000,2.890646
2.670000,2.896218
2.680000,2.901768
2.690000,2.907297
2.700000,2.912806
2.710000,2.918294
2.720000,2.923763
2.730000,2.929213
2.740000,2.934643
2.750000,2.940055
2.760000,2.945449
2.770000,2.950825
2.780000,2.956184
2.790000,2.961526
2.800000,2.966852
2.810000,2.972161
2.820000,2.977456
2.830000,2.982735
2.840000,2.987999
2.850000,2.993249
2.860000,2.998485
2.870000,3.003707
2.880000,3.008916
2.890000,3.014113
2.900000,3.019297
2.910000,3.024470
2.920000,3.029631
2.930000,3.034781
2.940000,3.039921
2.950000,3.045051
2.960000,3.050170
2.970000,3.055281
2.980000,3.060382
2.990000,3.065475
3.000000,3.070560
3.010000,3.075637
3.020000,3.080707
3.030000,3.085771
3.040000,3.090828
3.050000,3.095879
3.060000,3.100926
3.070000,3.105967
3.080000,3.111004
3.090000,3.116038
3.100000,3.121068
3.110000,3.126096
3.120000,3.131121
3.130000,3.136144
3.140000,3.141166
3.150000,3.146187
3.160000,3.151208
3.170000,3.156229
3.180000,3.161251
3.190000,3.166273
3.200000,3.171298
3.210000,3.176324
3.220000,3.181353
3.230000,3.186385
3.240000,3.191421
3.250000,3.196460
3.260000,3.201504
3.270000,3.206554
3.280000,3.211608
3.290000,3.216669
3.300000,3.221736
3.310000,3.226810
3.320000,3.231892
3.330000,3.236981
3.340000,3.242079
3.350000,3.247186
3.360000,3.252302
3.370000,3.257428
3.380000,3.262565
3.390000,3.267712
3.400000,3.272871
3.410000,3.278041
3.420000,3.283224
3.430000,3.288420
3.440000,3.293629
3.450000,3.298851
3.460000,3.304089
3.470000,3.309340
3.480000,3.314607
3.490000,3.319890
3.500000,3.325189
3.510000,3.330505
3.520000,3.335838
3.530000,3.341188
3.540000,3.346557
3.550000,3.351945
3.560000,3.357351
3.570000,3.362777
3.580000,3.368224
3.590000,3.373691
3.600000,3.379179
3.610000,3.384688
3.620000,3.390220
3.630000,3.395774
3.640000,3.401352
3.650000,3.406953
3.660000,3.412578
3.670000,3.418227
3.680000,3.423901
3.690000,3.429601
3.700000,3.435327
3.710000,3.441079
3.720000,3.446859
3.730000,3.452665
3.740000,3.458500
3.750000,3.464363
3.760000,3.470255
3.770000,3.476176
3.780000,3.482128
3.790000,3.488109
3.800000,3.494122
3.810000,3.500165
3.820000,3.506241
3.830000,3.512349
3.840000,3.518490
3.850000,3.524664
3.860000,3.530871
3.870000,3.537113
3.880000,3.543390
3.890000,3.549702
3.900000,3.556050
3.910000,3.562434
3.920000,3.568854
3.930000,3.575312
3.940000,3.581808
3.950000,3.588341
3.960000,3.594914
